行政區,學校,類型,里／鄰,來源頁
板橋區,板橋國小,基本,留侯里,2
板橋區,板橋國小,基本,流芳里,2
板橋區,板橋國小,基本,赤松里,2
板橋區,板橋國小,基本,黃石里,2
板橋區,板橋國小,基本,挹秀里,2
板橋區,板橋國小,基本,自強里,2
板橋區,板橋國小,基本,光華里,2
板橋區,板橋國小,基本,新興里,2
板橋區,板橋國小,基本,民權里,2
板橋區,板橋國小,基本,民安里,2
板橋區,板橋國小,基本,建國里,2
板橋區,板橋國小,自由,湳興里,2
板橋區,板橋國小,自由,漢生里,2
板橋區,板橋國小,自由,光榮里,2
板橋區,板橋國小,自由,社後里1–3鄰,2
板橋區,後埔國小,基本,廣德里,2
板橋區,後埔國小,基本,福德里1–7、26–28鄰,2
板橋區,後埔國小,基本,仁愛里,2
板橋區,後埔國小,基本,福星里,2
板橋區,後埔國小,基本,大豐里,2
板橋區,後埔國小,基本,華興里,2
板橋區,後埔國小,基本,鄉雲里,2
板橋區,後埔國小,基本,華貴里,2
板橋區,後埔國小,基本,華福里,2
板橋區,後埔國小,基本,華東里1–6、19–21鄰,2
板橋區,後埔國小,基本,景星里,2
板橋區,後埔國小,自由,重慶里5–13、17–19、21–25、30–31、33–35鄰,2
板橋區,後埔國小,自由,後埔里1–13鄰,2
板橋區,後埔國小,自由,湳興里,2
板橋區,新埔國小,基本,忠誠里,2
板橋區,新埔國小,基本,陽明里,2
板橋區,新埔國小,基本,宏翠里1鄰除外,2
板橋區,新埔國小,基本,仁翠里,2
板橋區,新埔國小,基本,新埔里,2
板橋區,新埔國小,基本,新翠里,2
板橋區,新埔國小,基本,朝陽里,2
板橋區,新埔國小,基本,吉翠里,2
板橋區,新埔國小,基本,滿翠里,2
板橋區,新埔國小,基本,明翠里,2
板橋區,新埔國小,基本,介壽里,2
板橋區,新埔國小,基本,百壽里,2
板橋區,新埔國小,基本,新民里2–9、26鄰,2
板橋區,新埔國小,基本,文化里1–6鄰,2
板橋區,新埔國小,自由,文化里7–17鄰,2
板橋區,新埔國小,自由,聯翠里,2
板橋區,新埔國小,自由,宏翠里1鄰,2
板橋區,新埔國小,自由,文德里12鄰,2
板橋區,埔墘國小,基本,埔墘里18–23鄰,3
板橋區,埔墘國小,基本,雙玉里,3
板橋區,埔墘國小,基本,振興里,3
板橋區,埔墘國小,基本,振義里,3
板橋區,埔墘國小,基本,廣新里,3
板橋區,埔墘國小,基本,玉光里,3
板橋區,埔墘國小,基本,光仁里,3
板橋區,埔墘國小,基本,西安里,3
板橋區,埔墘國小,基本,東丘里,3
板橋區,埔墘國小,基本,民生里,3
板橋區,埔墘國小,基本,九如里12、13鄰除外,3
板橋區,埔墘國小,基本,正泰里,3
板橋區,埔墘國小,基本,港嘴里8–17、21、25鄰,3
板橋區,埔墘國小,自由,莊敬里,3
板橋區,埔墘國小,自由,埤墘里,3
板橋區,海山國小,基本,民族里,3
板橋區,海山國小,基本,深丘里,3
