資料來源,行政區,學校,類型,里／鄰,頁碼
主表,板橋區,板橋國中,基本,國光里,2
主表,板橋區,板橋國中,基本,自強里,2
主表,板橋區,板橋國中,基本,建國里,2
主表,板橋區,板橋國中,基本,自立里,2
主表,板橋區,板橋國中,基本,光華里(除1-11鄰),2
主表,板橋區,板橋國中,基本,光榮里,2
主表,板橋區,板橋國中,基本,港尾里,2
主表,板橋區,板橋國中,基本,中正里,2
主表,板橋區,板橋國中,基本,香社里,2
主表,板橋區,板橋國中,基本,香雅里,2
主表,板橋區,板橋國中,基本,社後里,2
主表,板橋區,板橋國中,基本,港德里(除7、10、14、16、20、24-29鄰),2
主表,板橋區,板橋國中,基本,金華里(1-6、11、17、22、23鄰),2
主表,板橋區,板橋國中,自由,港德里(7、10、14、16、20、24-29鄰),2
主表,板橋區,板橋國中,自由,新生里,2
主表,板橋區,板橋國中,自由,民權里,2
主表,板橋區,板橋國中,自由,湳興里(1-5、22鄰),2
主表,板橋區,板橋國中,自由,光華里(1-11鄰),2
主表,板橋區,中山國中,基本,民安里,2
主表,板橋區,中山國中,基本,廣新里,2
主表,板橋區,中山國中,基本,玉光里,2
主表,板橋區,中山國中,基本,光仁里,2
主表,板橋區,中山國中,基本,新民里,2
主表,板橋區,中山國中,基本,西安里,2
主表,板橋區,中山國中,基本,漢生里,2
主表,板橋區,中山國中,基本,百壽里,2
主表,板橋區,中山國中,基本,介壽里,2
主表,板橋區,中山國中,自由,香丘里,2
主表,板橋區,中山國中,自由,忠誠里,2
主表,板橋區,中山國中,自由,公舘里,2
主表,板橋區,中山國中,自由,華江里,2
主表,板橋區,中山國中,自由,莊敬里,2
主表,板橋區,中山國中,自由,埤墘里,2
主表,板橋區,中山國中,自由,永安里,2
主表,板橋區,中山國中,自由,民權里,2
主表,板橋區,中山國中,自由,黃石里,2
主表,板橋區,中山國中,自由,挹秀里,2
主表,板橋區,中山國中,自由,赤松里,2
主表,板橋區,中山國中,自由,流芳里,2
主表,板橋區,中山國中,自由,留侯里(除7、9鄰外),2
主表,板橋區,中山國中,自由,留侯里(7、9鄰),2
主表,板橋區,中山國中,自由,雙玉里,2
主表,板橋區,新埔國中,基本,幸福里,2
主表,板橋區,新埔國中,基本,文德里,2
主表,板橋區,新埔國中,基本,新翠里,2
主表,板橋區,新埔國中,基本,朝陽里,2
主表,板橋區,新埔國中,基本,吉翠里,2
主表,板橋區,新埔國中,基本,德翠里,2
主表,板橋區,新埔國中,基本,新海里,2
主表,板橋區,新埔國中,基本,新埔里,2
主表,板橋區,新埔國中,基本,滿翠里,2
主表,板橋區,新埔國中,基本,明翠里,2
主表,板橋區,新埔國中,基本,陽明里,2
主表,板橋區,新埔國中,基本,宏翠里,2
主表,板橋區,新埔國中,基本,仁翠里,2
主表,板橋區,新埔國中,基本,金華里(7-10、12-16、18-21鄰),2
主表,板橋區,新埔國中,自由,港德里(7、10、14、16、20、24-29鄰),2
主表,板橋區,新埔國中,自由,新生里,2
主表,板橋區,新埔國中,自由,忠誠里,2
主表,板橋區,新埔國中,自由,公舘里,2
主表,板橋區,江翠國中,基本,嵐翠里,2
主表,板橋區,江翠國中,基本,文聖里,2
主表,板橋區,江翠國中,基本,華翠里,2
主表,板橋區,江翠國中,基本,莒光里,2
主表,板橋區,江翠國中,基本,松翠里,2
主表,板橋區,江翠國中,基本,聯翠里,2
主表,板橋區,江翠國中,基本,文化里,2
主表,板橋區,江翠國中,基本,江翠里,2
主表,板橋區,江翠國中,基本,純翠里,2
主表,板橋區,江翠國中,基本,溪頭里,2
主表,板橋區,江翠國中,基本,柏翠里,2
主表,板橋區,江翠國中,基本,青翠里,2
主表,板橋區,江翠國中,基本,懷翠里,2
主表,板橋區,江翠國中,基本,忠翠里,2
主表,板橋區,江翠國中,基本,松柏里,2
主表,板橋區,江翠國中,基本,文翠里,2
主表,板橋區,江翠國中,自由,龍翠里,2
主表,板橋區,江翠國中,自由,華江里,2
主表,板橋區,江翠國中,自由,莊敬里,2
主表,板橋區,江翠國中,自由,埤墘里,2
主表,板橋區,江翠國中,自由,永安里,2
主表,板橋區,海山高中(國中部),基本,福祿里,3
主表,板橋區,海山高中(國中部),基本,民族里,3
主表,板橋區,海山高中(國中部),基本,海山里,3
主表,板橋區,海山高中(國中部),基本,東丘里,3
主表,板橋區,海山高中(國中部),基本,民生里,3
主表,板橋區,海山高中(國中部),基本,長安里,3
主表,板橋區,海山高中(國中部),基本,東安里,3
主表,板橋區,海山高中(國中部),基本,深丘里,3
主表,板橋區,海山高中(國中部),基本,國泰里(7-15鄰),3
主表,板橋區,海山高中(國中部),基本,福丘里,3
主表,板橋區,海山高中(國中部),自由,香丘里,3
主表,板橋區,海山高中(國中部),自由,如里,3
主表,板橋區,海山高中(國中部),自由,正泰里,3
主表,板橋區,海山高中(國中部),自由,雙玉里,3
主表,板橋區,海山高中(國中部),自由,中和區瑞穗里(1-6鄰),3
主表,板橋區,海山高中(國中部),自由,中和區員山里(11-22鄰、25-35鄰、37-42鄰),3
主表,板橋區,光復高中(國中部),基本,港嘴里,3
主表,板橋區,光復高中(國中部),基本,振義里,3
主表,板橋區,光復高中(國中部),基本,振興里,3
主表,板橋區,光復高中(國中部),基本,光復里,3
主表,板橋區,光復高中(國中部),基本,埔墘里,3
主表,板橋區,光復高中(國中部),基本,富貴里,3
主表,板橋區,光復高中(國中部),基本,長壽里,3
主表,板橋區,光復高中(國中部),基本,居仁里,3
主表,板橋區,光復高中(國中部),基本,福壽里,3
主表,板橋區,光復高中(國中部),基本,福翠里,3
主表,板橋區,光復高中(國中部),自由,如里,3
主表,板橋區,光復高中(國中部),自由,正泰里,3
主表,板橋區,光復高中(國中部),自由,龍翠里,3
主表,板橋區,光復高中(國中部),自由,中和區中原里(5-14、18-20鄰),3
主表,板橋區,光復高中(國中部),自由,雙玉里,3
主表,板橋區,光復高中(國中部),自由,中和區各里,3
主表,板橋區,重慶國中,基本,仁愛里,3
主表,板橋區,重慶國中,基本,和平里,3
