行政區,學校名稱,學區所在區,類型,里／鄰,來源頁
松山區,松山國小,松山區,基本,慈祐,1
松山區,松山國小,松山區,自由,新東（19鄰）,1
松山區,松山國小,信義區,自由,永吉（1～4鄰）,1
松山區,松山國小,信義區,自由,四育（3～5鄰）,1
松山區,松山國小,信義區,自由,四育（1、2、8鄰）,1
松山區,松山國小,信義區,自由,四育(10鄰),1
松山區,松山國小,南港區,基本,合成（3～9鄰）,1
松山區,松山國小,南港區,基本,玉成（2～5、9～10、13～21鄰）,1
松山區,松山國小,南港區,自由,合成（1、2、10～12、25、26鄰）,1
松山區,西松國小,松山區,基本,新聚（2、7、8、10～30鄰）,1
松山區,西松國小,松山區,基本,安平,1
松山區,西松國小,松山區,基本,吉祥,1
松山區,西松國小,松山區,基本,東光,1
松山區,西松國小,松山區,基本,復盛（22～26鄰）,1
松山區,西松國小,松山區,基本,鵬程（2～10、13、19～20鄰）,1
松山區,西松國小,松山區,自由,新聚（1、3～6、9鄰）,1
松山區,西松國小,松山區,自由,鵬程（12、14鄰）,1
松山區,敦化國小,松山區,基本,美仁,1
松山區,敦化國小,松山區,基本,吉仁,1
松山區,敦化國小,松山區,基本,中崙,1
松山區,敦化國小,松山區,基本,敦化,1
松山區,敦化國小,松山區,基本,福成,1
松山區,敦化國小,松山區,基本,復源,1
松山區,敦化國小,松山區,基本,復建,1
松山區,敦化國小,松山區,基本,復勢,1
松山區,敦化國小,松山區,基本,中正,1
松山區,敦化國小,松山區,基本,松基（13、15、16鄰）,1
松山區,敦化國小,松山區,自由,中華(11鄰),1
松山區,敦化國小,大安區,基本,光武（12～23鄰）,1
松山區,民權國小,松山區,基本,東榮,1
松山區,民權國小,松山區,基本,三民（17～32鄰）,1
松山區,民權國小,松山區,自由,富錦,1
松山區,民權國小,松山區,自由,新東（1～18鄰）,1
松山區,民權國小,松山區,自由,新東（19鄰）,1
松山區,民權國小,松山區,自由,富泰（5～8、13～20鄰）,1
松山區,民權國小,松山區,自由,三民（10-16鄰）,1
松山區,民生國小,松山區,基本,龍田（1～13、15～36鄰）,1
松山區,民生國小,松山區,基本,東勢,1
松山區,民生國小,松山區,基本,東昌,1
松山區,民生國小,松山區,基本,中華(1～10、12～25鄰),1
松山區,民生國小,松山區,基本,介壽（5～21鄰）,1
松山區,民生國小,松山區,基本,精忠（1～3鄰）,1
松山區,民生國小,松山區,自由,中華(11鄰),1
松山區,民生國小,松山區,自由,龍田（14、37～39鄰）,1
松山區,民生國小,松山區,自由,精忠（4鄰）,1
松山區,民族國小,松山區,基本,精忠（5～16鄰）,1
松山區,民族國小,松山區,基本,民有,1
松山區,民族國小,松山區,基本,松基（1～12、14鄰）,1
松山區,民族國小,松山區,基本,民福（22～25鄰）,1
松山區,民族國小,松山區,自由,精忠（4鄰）,1
松山區,民族國小,松山區,自由,民福（8、10～13鄰）,1
松山區,三民國小,松山區,基本,莊敬,2
松山區,三民國小,松山區,基本,新益,2
松山區,三民國小,松山區,自由,富錦,2
松山區,三民國小,松山區,自由,新東（1～18鄰）,2
